hour_sin,hour_cos,day_of_year_sin,day_of_year_cos,day_of_week,month,is_weekend,is_workday,season_numeric,outdoor_temp,heating_demand_lag1,heating_demand_lag24,heating_demand_rolling_3h,heating_demand_rolling_24h,building_bungalow,building_detached,building_end_terrace,building_mid_terrace,building_semi_detached,heating_demand_kwh,datetime,building_type
0.9659258262890683,0.25881904510252074,0.06880242680231986,0.9976303053065857,1,1,0,1,0,3.3,73.89754161878977,73.78044716831558,73.89547764743516,74.57296331403214,True,False,False,False,False,73.89812799002713,2022-01-04 05:00:00,bungalow
1.0,6.123233995736766e-17,0.06880242680231986,0.9976303053065857,1,1,0,1,0,2.2,73.89812799002713,73.8214808723291,73.89894415816528,74.57628339708837,True,False,False,False,False,73.90116286567891,2022-01-04 06:00:00,bungalow
0.9659258262890683,-0.25881904510252063,0.06880242680231986,0.9976303053065857,1,1,0,1,0,2.0,73.90116286567891,73.83347514503185,73.8982516297322,74.57886626744083,True,False,False,False,False,73.89546403349055,2022-01-04 07:00:00,bungalow
0.8660254037844387,-0.4999999999999998,0.06880242680231986,0.9976303053065857,1,1,0,1,0,2.1,73.89546403349055,66.5999635444819,72.25092450316207,74.6770405618506,True,False,False,False,False,68.95614661031671,2022-01-04 08:00:00,bungalow
0.7071067811865476,-0.7071067811865475,0.06880242680231986,0.9976303053065857,1,1,0,1,0,1.8,68.95614661031671,75.46978146718546,73.25504281974845,74.73719624302781,True,False,False,False,False,76.91351781543808,2022-01-04 09:00:00,bungalow
0.49999999999999994,-0.8660254037844387,0.06880242680231986,0.9976303053065857,1,1,0,1,0,2.0,76.91351781543808,76.10057054974844,74.42907828324654,74.79207123778765,True,False,False,False,False,77.4175704239848,2022-01-04 10:00:00,bungalow
0.258819045102521,-0.9659258262890682,0.06880242680231986,0.9976303053065857,1,1,0,1,0,3.0,77.4175704239848,76.17835623392331,77.31145643132626,74.851443105314,True,False,False,False,False,77.6032810545559,2022-01-04 11:00:00,bungalow
1.2246467991473532e-16,-1.0,0.06880242680231986,0.9976303053065857,1,1,0,1,0,3.2,77.6032810545559,75.8477312259332,77.52747460265205,74.92285315129243,True,False,False,False,False,77.56157232941545,2022-01-04 12:00:00,bungalow
-0.2588190451025208,-0.9659258262890683,0.06880242680231986,0.9976303053065857,1,1,0,1,0,4.0,77.56157232941545,75.36341824039961,77.53461829617822,75.00933578729925,True,False,False,False,False,77.4390015045633,2022-01-04 13:00:00,bungalow
-0.4999999999999997,-0.8660254037844388,0.06880242680231986,0.9976303053065857,1,1,0,1,0,4.1,77.4390015045633,74.94376259658338,77.4472057473947,75.1092224877835,True,False,False,False,False,77.34104340820534,2022-01-04 14:00:00,bungalow
-0.7071067811865471,-0.7071067811865479,0.06880242680231986,0.9976303053065857,1,1,0,1,0,3.0,77.34104340820534,74.72640579676168,77.34585085743396,75.214685065399,True,False,False,False,False,77.25750765953327,2022-01-04 15:00:00,bungalow
-0.8660254037844385,-0.5000000000000004,0.06880242680231986,0.9976303053065857,1,1,0,1,0,3.0,77.25750765953327,74.89145512256052,77.31722432048248,75.31725451419683,True,False,False,False,False,77.35312189370886,2022-01-04 16:00:00,bungalow
-0.9659258262890683,-0.25881904510252063,0.06880242680231986,0.9976303053065857,1,1,0,1,0,2.4,77.35312189370886,75.40861137601698,77.4101965219489,75.40939404072132,True,False,False,False,False,77.6199600126046,2022-01-04 17:00:00,bungalow
-1.0,-1.8369701987210297e-16,0.06880242680231986,0.9976303053065857,1,1,0,1,0,1.9,77.6199600126046,76.00581957530864,77.58490574938882,75.48338636432733,True,False,False,False,False,77.78163534185302,2022-01-04 18:00:00,bungalow
-0.9659258262890684,0.2588190451025203,0.06880242680231986,0.9976303053065857,1,1,0,1,0,2.0,77.78163534185302,76.43376922989046,77.76438007205053,75.54412701565248,True,False,False,False,False,77.89154486169397,2022-01-04 19:00:00,bungalow
-0.8660254037844386,0.5000000000000001,0.06880242680231986,0.9976303053065857,1,1,0,1,0,1.9,77.89154486169397,76.5728396537751,77.8773175676162,75.60187421754942,True,False,False,False,False,77.95877249930162,2022-01-04 20:00:00,bungalow
-0.7071067811865477,0.7071067811865474,0.06880242680231986,0.9976303053065857,1,1,0,1,0,1.7,77.95877249930162,76.65619253503942,77.94433261015396,75.65714454815054,True,False,False,False,False,77.9826804694663,2022-01-04 21:00:00,bungalow
-0.5000000000000004,0.8660254037844384,0.06880242680231986,0.9976303053065857,1,1,0,1,0,1.8,77.9826804694663,76.74595020636094,77.97994189479682,75.70932881936977,True,False,False,False,False,77.99837271562258,2022-01-04 22:00:00,bungalow
-0.25881904510252157,0.9659258262890681,0.06880242680231986,0.9976303053065857,1,1,0,1,0,1.8,77.99837271562258,76.89518924116379,77.99894561228342,75.75602025314467,True,False,False,False,False,78.01578365176138,2022-01-04 23:00:00,bungalow
0.0,1.0,0.08596479873744647,0.9962981749346078,2,1,0,1,0,2.0,78.01578365176138,68.42804155104896,74.7133641174518,75.74343252122478,True,False,False,False,False,68.12593598497142,2022-01-05 00:00:00,bungalow
0.25881904510252074,0.9659258262890683,0.08596479873744647,0.9962981749346078,2,1,0,1,0,2.3,68.12593598497142,73.31801812707401,73.04058828995764,75.72935031731086,True,False,False,False,False,72.9800452331401,2022-01-05 01:00:00,bungalow
0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,2,1,0,1,0,2.4,72.9800452331401,73.82385430384906,71.51105200795337,75.71282200489001,True,False,False,False,False,73.42717480574855,2022-01-05 02:00:00,bungalow
0.7071067811865476,0.7071067811865476,0.08596479873744647,0.9962981749346078,2,1,0,1,0,2.7,73.42717480574855,73.89076333348858,73.30803209293323,75.69724337599094,True,False,False,False,False,73.51687623991106,2022-01-05 03:00:00,bungalow
0.8660254037844386,0.5000000000000001,0.08596479873744647,0.9962981749346078,2,1,0,1,0,2.9,73.51687623991106,73.89754161878977,73.49940014349612,75.68293536624257,True,False,False,False,False,73.55414938482875,2022-01-05 04:00:00,bungalow
