building_type,datetime,heating_demand_kwh,outdoor_temp,hour,day_of_week,month,day_of_year,is_weekend,is_workday,season_numeric,heating_demand_lag1,heating_demand_lag24,heating_demand_rolling_3h,heating_demand_rolling_24h,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
semi_detached,2022-01-12 22:00:00,81.38626325316653,4.0,22,2,1,12,0,1,0,80.77993464718865,80.86598506538317,80.72731103839284,67.57387042796248,-0.5000000000000004,0.8660254037844384,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-12 23:00:00,81.59487367043296,4.0,23,2,1,12,0,1,0,81.38626325316653,81.78535544643626,81.25369052359605,67.56593368729568,-0.25881904510252157,0.9659258262890681,0.2051044998686192,0.9787400799669153
semi_detached,2022-01-13 00:00:00,35.88548144200972,3.0,0,3,1,13,0,1,0,81.59487367043296,32.3119140886945,66.28887278853641,67.71483232701715,0.0,1.0,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 01:00:00,56.02848509902442,2.4,1,3,1,13,0,1,0,35.88548144200972,50.80445985910745,57.836280070489046,67.93250004534703,0.25881904510252074,0.9659258262890683,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 02:00:00,56.799830134840015,2.0,2,3,1,13,0,1,0,56.02848509902442,53.148161330852645,49.57126555862473,68.08465291217983,0.49999999999999994,0.8660254037844387,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 03:00:00,56.51285273186798,2.0,3,3,1,13,0,1,0,56.799830134840015,53.387865926659686,56.44705598857748,68.21486069573017,0.7071067811865476,0.7071067811865476,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 04:00:00,56.54601833562165,0.9,4,3,1,13,0,1,0,56.51285273186798,53.87764969642517,56.61956706744323,68.32604272236335,0.8660254037844386,0.5000000000000001,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 05:00:00,56.22192781700116,0.6,5,3,1,13,0,1,0,56.54601833562165,54.53883266168381,56.42693296149694,68.39617168716825,0.9659258262890683,0.25881904510252074,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 06:00:00,55.26735233848832,0.1,6,3,1,13,0,1,0,56.22192781700116,55.09165283877581,56.01176616370372,68.40349249965627,1.0,6.123233995736766e-17,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 07:00:00,54.920835174483216,2.0,7,3,1,13,0,1,0,55.26735233848832,55.474320946999335,55.470038443324235,68.3804305924681,0.9659258262890683,-0.25881904510252063,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 08:00:00,31.32846573476776,0.1,8,3,1,13,0,1,0,54.920835174483216,28.755405141897082,47.17221774924644,68.48764145050438,0.8660254037844387,-0.4999999999999998,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 09:00:00,68.56959262289166,0.2,9,3,1,13,0,1,0,31.32846573476776,69.36148744509237,51.60629784404756,68.45464583291268,0.7071067811865476,-0.7071067811865475,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 10:00:00,76.45233258040084,1.4,10,3,1,13,0,1,0,68.56959262289166,76.3891359532407,58.783463646020095,68.45727902571102,0.49999999999999994,-0.8660254037844387,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 11:00:00,79.9409094173138,2.8,11,3,1,13,0,1,0,76.45233258040084,79.58274781199508,74.98761154020211,68.47220242593262,0.258819045102521,-0.9659258262890682,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 12:00:00,81.18675501612543,4.3,12,3,1,13,0,1,0,79.9409094173138,80.67885026696813,79.1933323379467,68.49336512381419,1.2246467991473532e-16,-1.0,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 13:00:00,81.36817682872527,5.5,13,3,1,13,0,1,0,81.18675501612543,80.7834181704569,80.83194708738819,68.5177300679087,-0.2588190451025208,-0.9659258262890683,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 14:00:00,81.00244315022212,6.1,14,3,1,13,0,1,0,81.36817682872527,80.29514750245102,81.18579166502428,68.54720071989917,-0.4999999999999997,-0.8660254037844388,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 15:00:00,80.37700029216157,7.0,15,3,1,13,0,1,0,81.00244315022212,79.38566862513403,80.91587342370299,68.58850620602531,-0.7071067811865471,-0.7071067811865479,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 16:00:00,79.71283738163352,5.0,16,3,1,13,0,1,0,80.37700029216157,78.33326895491624,80.36409360800575,68.64598822380519,-0.8660254037844385,-0.5000000000000004,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 17:00:00,79.39092332232161,4.0,17,3,1,13,0,1,0,79.71283738163352,77.84577881941917,79.82692033203891,68.71036924475946,-0.9659258262890683,-0.25881904510252063,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 18:00:00,79.9374242666915,3.0,18,3,1,13,0,1,0,79.39092332232161,78.4485612350581,79.68039499021556,68.77240520441086,-1.0,-1.8369701987210297e-16,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 19:00:00,80.69961995793062,3.0,19,3,1,13,0,1,0,79.9374242666915,79.31127443365757,80.00932251564792,68.8302529345889,-0.9659258262890684,0.2588190451025203,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 20:00:00,81.37314573491551,3.1,20,3,1,13,0,1,0,80.69961995793062,80.01573521482332,80.67006331984588,68.88681170625942,-0.8660254037844386,0.5000000000000001,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 21:00:00,81.77843571617792,3.0,21,3,1,13,0,1,0,81.37314573491551,80.77993464718865,81.28373380300803,68.92841591746729,-0.7071067811865477,0.7071067811865474,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 22:00:00,81.99908565155772,2.0,22,3,1,13,0,1,0,81.77843571617792,81.38626325316653,81.71688903421706,68.95395018406693,-0.5000000000000004,0.8660254037844384,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-13 23:00:00,82.18202919281516,1.8,23,3,1,13,0,1,0,81.99908565155772,81.59487367043296,81.98651685351695,68.97841499749951,-0.25881904510252157,0.9659258262890681,0.2219215130041655,0.9750645322571948
semi_detached,2022-01-14 00:00:00,34.77118314338305,1.5,0,4,1,14,0,1,0,82.18202919281516,35.88548144200972,66.31743266258532,68.93198590172341,0.0,1.0,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 01:00:00,52.24691077471097,1.0,1,4,1,14,0,1,0,34.77118314338305,56.02848509902442,56.40004103696973,68.77442030487701,0.25881904510252074,0.9659258262890683,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 02:00:00,53.250173766337674,1.0,2,4,1,14,0,1,0,52.24691077471097,56.799830134840015,46.75608922814391,68.62651795618942,0.49999999999999994,0.8660254037844387,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 03:00:00,53.48893430421807,0.2,3,4,1,14,0,1,0,53.250173766337674,56.51285273186798,52.995339615088916,68.50052135503734,0.7071067811865476,0.7071067811865476,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 04:00:00,53.523287456947585,-1.0,4,4,1,14,0,1,0,53.48893430421807,56.54601833562165,53.42079850916778,68.3745742350926,0.8660254037844386,0.5000000000000001,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 05:00:00,52.03621366101171,-1.0,5,4,1,14,0,1,0,53.523287456947585,56.22192781700116,53.0161451407258,68.20016947859303,0.9659258262890683,0.25881904510252074,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 06:00:00,51.006123301534615,-1.0,6,4,1,14,0,1,0,52.03621366101171,55.26735233848832,52.18854147316464,68.02261826871995,1.0,6.123233995736766e-17,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 07:00:00,51.31355970300286,-1.0,7,4,1,14,0,1,0,51.006123301534615,54.920835174483216,51.45196555518307,67.87231512407494,0.9659258262890683,-0.25881904510252063,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 08:00:00,33.111159763311555,-2.0,8,4,1,14,0,1,0,51.31355970300286,31.32846573476776,45.14361425594969,67.94659404193092,0.8660254037844387,-0.4999999999999998,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 09:00:00,70.88346682189457,-1.0,9,4,1,14,0,1,0,33.111159763311555,68.56959262289166,51.769395429403005,68.04300546688938,0.7071067811865476,-0.7071067811865475,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 10:00:00,78.28753376371651,1.9,10,4,1,14,0,1,0,70.88346682189457,76.45233258040084,60.76072011630756,68.11947218286087,0.49999999999999994,-0.8660254037844387,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 11:00:00,80.73226953199888,2.9,11,4,1,14,0,1,0,78.28753376371651,79.9409094173138,76.63442337253667,68.15244552097275,0.258819045102521,-0.9659258262890682,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 12:00:00,81.10608340596072,3.7,12,4,1,14,0,1,0,80.73226953199888,81.18675501612543,80.04196223389205,68.14908420388255,1.2246467991473532e-16,-1.0,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 13:00:00,80.82593123832518,5.1,13,4,1,14,0,1,0,81.10608340596072,81.36817682872527,80.88809472542827,68.12649063761589,-0.2588190451025208,-0.9659258262890683,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 14:00:00,80.23574717452547,5.4,14,4,1,14,0,1,0,80.82593123832518,81.00244315022212,80.72258727293713,68.09454497196185,-0.4999999999999997,-0.8660254037844388,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 15:00:00,79.43312913311863,5.4,15,4,1,14,0,1,0,80.23574717452547,80.37700029216157,80.16493584865644,68.05521700700173,-0.7071067811865471,-0.7071067811865479,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 16:00:00,78.92016932600383,3.7,16,4,1,14,0,1,0,79.43312913311863,79.71283738163352,79.52968187788265,68.02218917135049,-0.8660254037844385,-0.5000000000000004,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 17:00:00,79.30857207347682,1.3,17,4,1,14,0,1,0,78.92016932600383,79.39092332232161,79.22062351086645,68.0187578693153,-0.9659258262890683,-0.25881904510252063,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 18:00:00,80.46041795163204,1.1,18,4,1,14,0,1,0,79.30857207347682,79.9374242666915,79.56305311703757,68.04054927285448,-1.0,-1.8369701987210297e-16,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 19:00:00,81.57469262966622,0.9,19,4,1,14,0,1,0,80.46041795163204,80.69961995793062,80.44789421825838,68.0770106341768,-0.9659258262890684,0.2588190451025203,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 20:00:00,82.174264807962,0.3,20,4,1,14,0,1,0,81.57469262966622,81.37314573491551,81.40312512975343,68.11039059555374,-0.8660254037844386,0.5000000000000001,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 21:00:00,82.46971239579916,-3.0,21,4,1,14,0,1,0,82.174264807962,81.77843571617792,82.0728899444758,68.13919379053796,-0.7071067811865477,0.7071067811865474,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 22:00:00,82.53712387724204,-3.0,22,4,1,14,0,1,0,82.46971239579916,81.99908565155772,82.39370036033442,68.16161204994147,-0.5000000000000004,0.8660254037844384,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-14 23:00:00,82.1795970055538,-3.0,23,4,1,14,0,1,0,82.53712387724204,82.18202919281516,82.39547775953169,68.16151070880558,-0.25881904510252157,0.9659258262890681,0.2386727660059501,0.9711000518829505
semi_detached,2022-01-15 00:00:00,31.611021697241288,-3.0,0,5,1,15,1,0,0,82.1795970055538,34.77118314338305,65.44258086001238,68.02983731521634,0.0,1.0,0.255353295116187,0.9668478136052775
semi_detached,2022-01-15 01:00:00,42.37750149694446,-3.0,1,5,1,15,1,0,0,31.611021697241288,52.24691077471097,52.05604006657986,67.61861192864275,0.25881904510252074,0.9659258262890683,0.255353295116187,0.9668478136052775
semi_detached,2022-01-15 02:00:00,43.92177248171906,-3.0,2,5,1,15,1,0,0,42.37750149694446,53.250173766337674,39.30343189196828,67.22992854178362,0.49999999999999994,0.8660254037844387,0.255353295116187,0.9668478136052775
semi_detached,2022-01-15 03:00:00,44.726506121988905,-4.0,3,5,1,15,1,0,0,43.92177248171906,53.48893430421807,43.67526003355082,66.86482736752409,0.7071067811865476,0.7071067811865476,0.255353295116187,0.9668478136052775
semi_detached,2022-01-15 04:00:00,44.38583433174057,-4.0,4,5,1,15,1,0,0,44.726506121988905,53.523287456947585,44.34470431181618,66.48410015397378,0.8660254037844386,0.5000000000000001,0.255353295116187,0.9668478136052775
semi_detached,2022-01-15 05:00:00,43.59607695714362,-3.0,5,5,1,15,1,0,0,44.38583433174057,52.03621366101171,44.23613913695771,66.13242779131262,0.9659258262890683,0.25881904510252074,0.255353295116187,0.9668478136052775
